id,temp,hum,feed_id,created_at,lat,lon,ele
0FQT9GS1SDRHD2N91T0C2W9JFY,-22.10,55.30,2928278,2024-11-09 02:15:27 UTC,,,
0FQT9KMCVF77M4MHZDHSA7KTF1,-21.60,58.70,2928278,2024-11-09 02:20:26 UTC,,,
0FQT9PFVT201HFQQFA60SQZ3P6,-21.10,60.80,2928278,2024-11-09 02:25:26 UTC,,,
0FQT9SB6V519H3X8CP0VQ8KP9F,-20.60,61.90,2928278,2024-11-09 02:30:25 UTC,,,
0FQT9W6RWZW1Z2QB0K0F093SW3,-20.50,59.60,2928278,2024-11-09 02:35:25 UTC,,,
0FQT9Z29XT8KGRQTHWR0V1Z73B,-21.50,53.70,2928278,2024-11-09 02:40:25 UTC,,,
0FQTA1XM47JZFEG83HHR3AYSEB,-22.50,51.10,2928278,2024-11-09 02:45:25 UTC,,,
0FQTA4S45B3XEZ578K283R0CFN,-23.20,50.30,2928278,2024-11-09 02:50:24 UTC,,,
0FQTA7MG1RE54HPDDGA0BPYPDW,-22.40,53.10,2928278,2024-11-09 02:55:24 UTC,,,
0FQTAAFY34D1VGGJV9X69QPZXN,-21.80,56.90,2928278,2024-11-09 03:00:23 UTC,,,
0FQTADBE4KMTFN3XHQJJWGJBJA,-21.40,59.70,2928278,2024-11-09 03:05:23 UTC,,,
0FQTAG6V1SKJSNKRHZC3PF0H2V,-20.90,61.20,2928278,2024-11-09 03:10:23 UTC,,,
0FQTAK253BGQF8E564KXV70GTD,-20.30,64.00,2928278,2024-11-09 03:15:22 UTC,,,
0FQTANXHAWJMQJG8ZNMP993SB9,-21.00,56.20,2928278,2024-11-09 03:20:21 UTC,,,
0FQTARS13B51KCCF1PW85HGY33,-22.00,52.90,2928278,2024-11-09 03:25:21 UTC,,,
0FQTAVMG41J3V218TRDBS4C638,-22.80,50.90,2928278,2024-11-09 03:30:21 UTC,,,
0FQTAYG09GM0RF28ZDTYWK6EEZ,-23.20,50.10,2928278,2024-11-09 03:35:21 UTC,,,
0FQTB1BB8TG0S3G5HJD923QQ8B,-22.50,53.10,2928278,2024-11-09 03:40:20 UTC,,,
0FQTB46N6Q9V6FFFQ6Q69W5CTP,-21.90,56.10,2928278,2024-11-09 03:45:19 UTC,,,
0FQTB7207S6KMXVY6410YTP1YZ,-21.30,57.70,2928278,2024-11-09 03:50:19 UTC,,,
0FQTB9XE9WRQWCF9HY69QBBE6H,-20.90,58.70,2928278,2024-11-09 03:55:18 UTC,,,
0FQTBCRW9NTA3VTG2ZR44VNE0P,-20.50,60.00,2928278,2024-11-09 04:00:18 UTC,,,
0FQTBFMBAD4Z5W41QT66WCZ7TF,-20.10,62.10,2928278,2024-11-09 04:05:18 UTC,,,
0FQTBJFRE9A10TEA8T5CAFC8W0,-19.80,64.80,2928278,2024-11-09 04:10:17 UTC,,,
0FQTBNB8B12FYN1SKKJH4N36S5,-19.50,66.90,2928278,2024-11-09 04:15:17 UTC,,,
0FQTBR6NBPA66F600KFWJ1TD10,-19.20,67.80,2928278,2024-11-09 04:20:16 UTC,,,
0FQTBV20BCG335D0VRBEJT3D3Y,-18.90,68.50,2928278,2024-11-09 04:25:16 UTC,,,
0FQTBXXFER0K3WYWN1X0WB3VQE,-16.40,81.90,2928278,2024-11-09 04:30:16 UTC,,,
0FQTC0S0NX7TK9PVRK7BEQRBJ6,-16.60,75.40,2928278,2024-11-09 04:35:15 UTC,,,
0FQTC3MGHXDN3P74R7GMEK0DQY,-17.60,67.00,2928278,2024-11-09 04:40:15 UTC,,,
0FQTC6FZMZHPV29QPK232H5WCD,-18.70,62.60,2928278,2024-11-09 04:45:15 UTC,,,
0FQTC9BFKEDEMTEBTF7WW9HY61,-19.70,59.50,2928278,2024-11-09 04:50:15 UTC,,,
0FQTCC6ZHXB3XNYG96YX8R5S4P,-20.60,57.60,2928278,2024-11-09 04:55:15 UTC,,,
0FQTCF2CK370BN8VGQ9DWP5J38,-21.50,55.60,2928278,2024-11-09 05:00:14 UTC,,,
0FQTCHXYME0BKF1MQ37NVQHHSD,-22.30,54.10,2928278,2024-11-09 05:05:14 UTC,,,
0FQTCMSBMXW2WHX8ZF5FSJ0CFF,-23.00,52.90,2928278,2024-11-09 05:10:14 UTC,,,
0FQTCQMSNBNTNXAFP3YF57RB31,-23.60,52.40,2928278,2024-11-09 05:15:13 UTC,,,
0FQTCTG5NB0FJ51RPR1HH4T6DR,-22.80,54.80,2928278,2024-11-09 05:20:13 UTC,,,
0FQTCXBMP7TQJKS55NN1NHGD1C,-22.10,58.70,2928278,2024-11-09 05:25:13 UTC,,,
0FQTD071QQNZGDJFZMJDEQYY76,-21.40,61.80,2928278,2024-11-09 05:30:12 UTC,,,
0FQTD32FRBXZNNVD7A971W2V8Q,-20.90,64.30,2928278,2024-11-09 05:35:12 UTC,,,
0FQTD5Y0QWZ3VCSGY1N0PNEJ26,-20.20,67.60,2928278,2024-11-09 05:40:12 UTC,,,
0FQTD8SDVFWQM8CGW6XHFP1X13,-20.90,58.70,2928278,2024-11-09 05:45:11 UTC,,,
0FQTDBMWTSWD1Y4K138Q2A8BY3,-21.90,54.40,2928278,2024-11-09 05:50:11 UTC,,,
0FQTDEGAYJSDRECD1BHH78D29J,-22.70,52.60,2928278,2024-11-09 05:55:10 UTC,,,
0FQTDHBMWTH68C89MRN1ZP0N77,-23.20,52.30,2928278,2024-11-09 06:00:10 UTC,,,
0FQTDM705KJ4C4CH8PJMZJ56NN,-22.40,55.30,2928278,2024-11-09 06:05:09 UTC,,,
0FQTDQ2EW2Z84864470AMN8FPG,-21.70,58.70,2928278,2024-11-09 06:10:09 UTC,,,
0FQTDSXPZNEFSF8P3NFM8HJ82X,-21.20,61.50,2928278,2024-11-09 06:15:08 UTC,,,
0FQTDWS6YSP64A8BMBKKW5HPFS,-20.70,63.20,2928278,2024-11-09 06:20:08 UTC,,,
0FQTDZMM0D6GG146K1NSGZH0Z8,-20.40,62.40,2928278,2024-11-09 06:25:07 UTC,,,
0FQTE2G30ASJ5SE9EHHDW74AFF,-21.50,55.20,2928278,2024-11-09 06:30:07 UTC,,,
0FQTE5BN2D9WCB5A428GNWTYAA,-22.40,52.50,2928278,2024-11-09 06:35:07 UTC,,,
0FQTE87523WNXRWR3KSX8ZFHSD,-23.20,51.50,2928278,2024-11-09 06:40:07 UTC,,,
0FQTEB2G2KCV58WCDPQ4FD52P0,-22.60,53.70,2928278,2024-11-09 06:45:06 UTC,,,
0FQTEDY04XXT6VQ42NJNQJWYHC,-21.90,57.30,2928278,2024-11-09 06:50:06 UTC,,,
0FQTEGSH7KFS5BC5P8CFFCBXQW,-21.40,60.40,2928278,2024-11-09 06:55:06 UTC,,,
0FQTEKMZ5ZF74ZY3A8QDHJWNTW,-20.90,62.30,2928278,2024-11-09 07:00:05 UTC,,,
0FQTEPGC5VR7HJ1W5E4MY8VE89,-20.50,60.00,2928278,2024-11-09 07:05:05 UTC,,,
0FQTESBS7G9MJR4H0FHWBQR74S,-20.80,58.70,2928278,2024-11-09 07:10:04 UTC,,,
0FQTEW7273TTQ2PMBQEV4RH7V8,-21.70,55.80,2928278,2024-11-09 07:15:04 UTC,,,
0FQTEZ2J9HCGRAD6F6SMADGKR2,-22.50,55.00,2928278,2024-11-09 07:20:03 UTC,,,
0FQTF1Y09XDMA4JHNYC40ECPQG,-23.30,53.00,2928278,2024-11-09 07:25:03 UTC,,,
0FQTF7MVEJGR5GGZT9XH1CQVVM,-21.90,58.00,2928278,2024-11-09 07:35:02 UTC,,,
0FQTFAG79GG2RB3R837WN2VZ94,-21.30,60.80,2928278,2024-11-09 07:40:02 UTC,,,
0FQTFDBPCSXJ10QKVWH6733RZP,-20.60,67.80,2928278,2024-11-09 07:45:01 UTC,,,
